,X,P,Termination,Time,Objective,Steam,Bypass Fraction,CH4 Feed
43,0.95,1657379.0,optimal,0.4541517499999941,0.39570788839778787,304.6958218390892,0.4179653498944113,1249.9999359483984
44,0.95,1727379.0,optimal,0.45959712500001615,0.39710851564129274,307.29976871289216,0.4153060327062142,1249.9999359208468
45,0.95,1797379.0,optimal,0.47014520800001947,0.39843313086594306,309.77657090063093,0.4127803624276371,1249.9999358931566
46,0.95,1867379.0,optimal,0.4677707089999785,0.39968900754368575,312.13778209981615,0.41037610141348435,1249.9999358653533
47,0.95,1937379.0,optimal,0.46895620799995186,0.40088247303590574,314.39352183446084,0.4080825473697364,1249.9999358374587
48,0.96,1447379.0,optimal,0.541397958999994,0.38570413021438793,282.58865304776083,0.4416607405795128,1249.9999363975005
49,0.96,1517379.0,optimal,0.5328305829999636,0.38746370139397784,285.74486981995534,0.43845635841193964,1249.9999363652357
50,0.96,1587379.0,optimal,0.5137549579999927,0.3891128378866551,288.72367554994827,0.4354374661910789,1249.999936333055
51,0.96,1657379.0,optimal,0.5288842920000434,0.3906635017511893,291.5431449763803,0.43258492046357266,1249.999936300975
52,0.96,1727379.0,optimal,0.5155250000000251,0.39212590527254215,294.21885092327454,0.42988226998448764,1249.9999362690062
53,0.96,1797379.0,optimal,0.4953955409999935,0.3935088271779089,296.7642938702567,0.4273152851844005,1249.9999362371552
54,0.96,1867379.0,optimal,0.5458815000000072,0.39481986172473893,299.19124464887904,0.42487158464341185,1249.9999362054252
55,0.96,1937379.0,optimal,0.5080599160000361,0.3960656168627934,301.510020276029,0.4225403357627069,1249.999936173817
56,0.97,1447379.0,optimal,0.5427483750000306,0.37863524599119336,265.35991085695485,0.4590704459508138,1249.9999368340516
57,0.97,1517379.0,optimal,0.6116218330000152,0.3804863662702501,268.603655560222,0.4558090362600926,1249.999936796152
58,0.97,1587379.0,optimal,0.5357779999999366,0.38222125989594835,271.6661147027592,0.4527358887736575,1249.9999367586897
59,0.97,1657379.0,optimal,0.5078347920000397,0.3838524864089656,274.5656142939298,0.44983166246994766,1249.9999367216487
60,0.97,1727379.0,optimal,0.47836849999998776,0.3853907727160286,277.31796183865754,0.4470797251108485,1249.9999366850107
61,0.97,1797379.0,optimal,0.48583450000000994,0.3868453434453965,279.9368757513805,0.4444656816428875,1249.9999366487564
62,0.97,1867379.0,optimal,0.4955764999999701,0.3882241813526026,282.43432852883967,0.44197699946451874,1249.9999366128663
63,0.97,1937379.0,optimal,0.4779527499999858,0.3895342346156704,284.82082340762156,0.43960270786518424,1249.9999365773215
