,T,P,Termination,Time,Objective
73,327.0388888888889,1614045.6666666667,optimal,13.204971600091085,0.3402424808201405
74,327.0388888888889,1669601.2222222222,optimal,7.1735518999630585,0.34175189894436303
75,327.0388888888889,1725156.7777777778,optimal,11.961446300032549,0.34319228324172363
76,327.0388888888889,1780712.3333333333,optimal,3.9215973999816924,0.3445690774243542
77,327.0388888888889,1836267.888888889,optimal,4.0980501000303775,0.3458871276861699
78,327.0388888888889,1891823.4444444445,maxIterations,84.37495740002487,N/A
79,327.0388888888889,1947379.0,optimal,6.482239100034349,0.34836395560538586
80,332.59444444444443,1447379.0,optimal,5.094520199927501,0.3320100918625482
81,332.59444444444443,1502934.5555555555,optimal,5.056440899963491,0.333793786014844
82,332.59444444444443,1558490.111111111,optimal,3.4951889000367373,0.33548609729468376
