,Fin_CH4,Tin_CH4,Fin_H2O,Conversion,HeatDuty,Fout,Tout,H2,CO,H2O,CO2,CH4,C2H6,C3H8,C4H10,N2,O2,Ar
453,619.7736354,748.7067313,246.8668151,0.952558181,43943995.08,3147.189052,1032.489095,0.417017646,0.173779296,0.043474865,0.022857477,0.008698061,4.40E-08,8.51E-13,1.54E-17,0.330193702,1.00E-20,0.003978908
724,787.7795742,772.1050681,228.5053623,0.857952327,68069846.93,3489.986065,1031.910431,0.444965492,0.195694733,0.017587119,0.009780836,0.029851472,4.84E-07,2.99E-11,1.74E-15,0.298531301,1.00E-20,0.003588564
1025,800.889386,617.1772753,270.3418366,0.872128027,81426456.2,3589.662092,1031.840275,0.452842135,0.194739806,0.020769805,0.011297608,0.026561032,3.76E-07,2.03E-11,1.03E-15,0.290300272,1.00E-20,0.003488966
46,745.2523882,796.0241943,297.8726245,0.913489456,67180565.59,3517.362901,1031.641847,0.449002704,0.187681621,0.030524588,0.016151113,0.017064986,1.56E-07,5.47E-12,1.80E-16,0.2960143,1.00E-20,0.003560531
696,805.6925783,688.297847,232.1537825,0.8474793,74426173.29,3528.069614,1031.505968,0.446404343,0.196411792,0.016577922,0.009238078,0.03242736,5.67E-07,3.79E-11,2.38E-15,0.29539006,1.00E-20,0.003549879
550,694.7749288,687.0846709,242.8347273,0.918667171,59916067.38,3322.493644,1031.301992,0.435144551,0.185974463,0.029930557,0.016213994,0.015834217,1.38E-07,4.62E-12,1.45E-16,0.313132886,1.00E-20,0.003769194
905,897.9345648,600.5982133,202.7623303,0.852811369,80965848.3,3550.2944,1031.234837,0.446279804,0.190692031,0.015151378,0.008208174,0.034658125,6.46E-07,1.39E-10,0.007525315,0.293956618,1.00E-20,0.003527908
320,662.8720475,860.091051,216.3793256,0.925252626,45390857.34,3211.248431,1031.17254,0.426268101,0.184004924,0.030787178,0.016853542,0.014364897,1.16E-07,3.59E-12,1.04E-16,0.323821583,1.00E-20,0.00389966
135,631.5908729,701.2604176,209.5017289,0.958887319,40569415.17,3060.766003,1031.168738,0.409275747,0.169861143,0.043068085,0.022667897,0.007898277,4.13E-08,4.28E-12,0.003558795,0.339578734,1.00E-20,0.004091282
505,717.5662036,875.2737996,308.905883,0.928493732,59239462.65,3468.071726,1031.122854,0.444354251,0.183021207,0.036221887,0.018923438,0.013774275,1.02E-07,2.91E-12,7.77E-17,0.300093778,1.00E-20,0.00361106
447,684.3601091,754.6086547,336.2315626,0.946341045,59789286.39,3420.815056,1030.478183,0.437381753,0.175034819,0.046288946,0.023555267,0.009994202,5.45E-08,1.14E-12,2.23E-17,0.304084103,1.00E-20,0.003660856
262,859.3456839,613.6720665,326.9719501,0.863581877,94506946.71,3797.80652,1030.457747,0.464603701,0.19560146,0.021572407,0.011549791,0.028738078,4.24E-07,2.39E-11,1.27E-15,0.274636223,1.00E-20,0.003297917
