,T_in (K),P_in (Pa),Conversion,F_in (mol/s),Heat Duty (W),F_out (mol/s),T_out (K),H2,H2O,CO2,CO,CH4
136,674.8049383204125,1129220.7306356633,0.5800307526989796,309,12929083.548356602,396.013882534047,965.137110143965,0.3990382264064833,0.4115588686426999,0.06948685178756399,0.04037921130804694,0.07953684185520576
137,523.8930115069193,882882.1039472297,0.9417288128240722,309,23339271.894985255,450.26859155281085,1108.6091391383354,0.5267963691331389,0.30662265862064847,0.05621283996738247,0.10066206101340404,0.009706071265426029
138,684.1407782993708,955995.4111394187,0.6342494619877768,309,13796312.229059257,404.1466889273664,972.4366316221774,0.42356394069529896,0.39084458519941623,0.07045915756320947,0.04725772767999353,0.06787458886208199
139,531.5689654325034,1071069.3000347558,0.7973640661895791,309,19646468.838051207,428.61387955763684,1042.060507950164,0.48305377709609143,0.3419491373447283,0.06447910313122279,0.07506020618546448,0.03545777624249308
140,696.5501164806008,838944.2796300579,0.5545108014241406,309,11704953.45224619,392.1858898428211,934.77447728826,0.3896526905523995,0.41909570734926727,0.07152566571110669,0.034532433105963545,0.08519350328126306
141,638.2860386127869,866365.5732193746,0.616162738837327,309,13862463.132939313,401.43368045479906,958.9159536514208,0.4167756448517946,0.3963785985394856,0.07142192146383163,0.043711380538225104,0.07171245460666312
142,588.4945262125706,1196577.027683153,0.8009850695923841,309,19198838.736931916,429.1570300680577,1052.7222129343936,0.4832268933700034,0.34199750120438993,0.06328354389322549,0.07671197234636874,0.03478008918601226
143,672.3478487882433,952802.3291097826,0.5359906787961042,309,11770859.460771391,389.4078714486157,936.8644082780747,0.38008458547540924,0.42729943202332926,0.07038898974825157,0.03285874510862618,0.0893682476443836
144,573.1025656256824,899271.015384749,0.577687368949979,309,13884737.899503661,395.66237497169686,947.9409423425426,0.399704977793744,0.4107238511840798,0.07119343301255726,0.038326034000570185,0.08005170400904886
145,672.5875691309247,853450.9434830581,0.8479923832279497,309,18757875.953807212,436.20812711339244,1045.7790198278992,0.5013107343415244,0.3267388248238368,0.06390878245929688,0.08190603515037578,0.026135623224966178
146,622.7221475381349,1016588.2131937864,0.6032455039476446,309,13983196.234387338,399.4960952213467,965.8822946791337,0.40998889230129654,0.40225913552675596,0.07023528766839836,0.04303138274499366,0.07448530175855554
